Code,Model,Concreteness,Kappa
Scholar,GPT-4,3.5,0.6085874299937772
Scholar,GPT-3.5,3.5,0.2938304482911673
Scholar,Gemini,3.5,0.0039880358923228
Scholar,Llama,3.5,-0.1337047353760445
Activist,GPT-4,3.34,0.8110867979576951
Activist,GPT-3.5,3.34,0.3906871095968199
Activist,Gemini,3.34,0.0124929017603634
Activist,Llama,3.34,-0.2048427497912608
Monumental Memorialization,GPT-4,2.28,1.0
Monumental Memorialization,GPT-3.5,2.28,0.2873194221508829
Monumental Memorialization,Gemini,2.28,-0.1615434924787444
Monumental Memorialization,Llama,2.28,-0.082744702320888
Mention of Scholarly Work,GPT-4,2.6566666666666667,0.7119603680113233
Mention of Scholarly Work,GPT-3.5,2.6566666666666667,0.332383665716999
Mention of Scholarly Work,Gemini,2.6566666666666667,-0.0162297128589263
Mention of Scholarly Work,Llama,2.6566666666666667,-0.1105845181674565
Social/Political Advocacy,GPT-4,2.0,0.6361848574237955
Social/Political Advocacy,GPT-3.5,2.0,0.5485602733040508
Social/Political Advocacy,Gemini,2.0,-0.140655105973025
Social/Political Advocacy,Llama,2.0,-0.1573802541544477
Coalition Building,GPT-4,3.695,0.5972006220839814
Coalition Building,GPT-3.5,3.695,0.330518697225573
Coalition Building,Gemini,3.695,-0.1337047353760447
Coalition Building,Llama,3.695,-0.0525164113785558
Out of the Mouth of Academics,GPT-4,3.7350000000000003,0.6267339218158889
Out of the Mouth of Academics,GPT-3.5,3.7350000000000003,0.3742071881606764
Out of the Mouth of Academics,Gemini,3.7350000000000003,-0.1435306443163959
Out of the Mouth of Academics,Llama,3.7350000000000003,-0.0966494845360825
Out of the Mouth of Activists,GPT-4,3.7350000000000003,0.3042735042735043
Out of the Mouth of Activists,GPT-3.5,3.7350000000000003,0.2097087378640777
Out of the Mouth of Activists,Gemini,3.7350000000000003,-0.1435439560439559
Out of the Mouth of Activists,Llama,3.7350000000000003,0.0918181818181818
Collective Synecdoche,GPT-4,2.52,0.7881230116648993
Collective Synecdoche,GPT-3.5,2.52,0.2747115250938412
Collective Synecdoche,Gemini,2.52,-0.1020408163265307
Collective Synecdoche,Llama,2.52,-0.1077844311377245
