Code,Gold Standard Count,GPT-4: Per-Code w/ Just,GPT-4: Per-Code w/o Just,GPT-4: Full w/ Just,GPT-4: Full w/o Just,GPT-3.5: Per-Code w/ Just,GPT-3.5: Per-Code w/o Just,Gemini: Per-Code w/ Just,Gemini: Full w/ Just,Llama: Per-Code w/ Just
Scholar,27.0,0.6085874299937772,0.5162023877202957,0.5925110132158591,0.42058165548098436,0.29383044829116733,0.20627062706270627,0.003988035892322883,-0.07357512953367884,-0.13370473537604455
Activist,23.0,0.8110867979576951,0.6491611962071481,0.670020580836954,0.6161067193675889,0.39068710959681996,0.3153566345089356,0.01249290176036344,-0.00045065344749883884,-0.20484274979126083
Monumental Memorialization,13.0,1.0,0.9128728414442701,0.7527839643652561,0.47723704866562,0.2873194221508829,0.30833141010846987,-0.16154349247874444,-0.14348785871964664,-0.08274470232088804
Mention of Scholarly Work,24.0,0.7119603680113233,0.6903765690376569,0.5210355987055016,0.43939393939393945,0.33238366571699907,0.3890608875128998,-0.01622971285892638,-0.08029197080291972,-0.11058451816745651
Social/Political Advocacy,51.0,0.6361848574237955,0.6033138401559455,0.5986193293885602,0.5950248756218905,0.5485602733040508,0.5052531041069723,-0.140655105973025,-0.09509946627850563,-0.15738025415444779
Coalition Building,9.0,0.5972006220839814,0.443609022556391,0.43326039387308535,0.13145539906103276,0.33051869722557303,0.16957605985037416,-0.13370473537604477,-0.052516411378555894,-0.052516411378555894
Out of the Mouth of Academics,30.0,0.6267339218158889,0.6462715105162524,0.6492890995260663,0.6185567010309279,0.37420718816067644,0.3278993945039591,-0.14353064431639595,0.011524358302776316,-0.09664948453608257
Out of the Mouth of Activists,11.0,0.3042735042735043,0.0918181818181818,0.34124629080118696,0.1777777777777778,0.20970873786407773,0.12504478681476172,-0.14354395604395598,-0.01834862385321112,0.0918181818181818
Collective Synecdoche,26.0,0.7881230116648993,0.7769591426657736,0.8092783505154639,0.7064786249449097,0.2747115250938412,0.2747115250938412,-0.10204081632653073,-0.22036328871892907,-0.10778443113772451
Average,23.77777777777778,0.6760167236916517,0.5922871880135462,0.5964494023586593,0.46473474903829687,0.337991896378232,0.2912782699514356,-0.09164083619121521,-0.07473433827001882,-0.09493212278269765
