Code,Qwen Kappa,Gemini Kappa,Difference (Qwen - Gemini),Qwen % Agreement,Gemini % Agreement
Scholar,0.4036838066001534,0.5210355987055016,-0.11735179210534824,0.8108108108108109,0.7837837837837838
Activist,0.5494848579456759,0.5907238501843586,-0.04123899223868266,0.8828828828828829,0.8288288288288288
Monumental Memorialization,0.9549330085261876,0.9578427649069502,-0.002909756380762629,0.990990990990991,0.990990990990991
Mention of Scholarly Work,0.5386533665835411,0.604982206405694,-0.06632883982215287,0.8648648648648649,0.8378378378378378
Social/Political Advocacy,0.5747126436781609,0.5918465227817746,-0.017133879103613747,0.7927927927927928,0.7927927927927928
Coalition Building,0.0,0.1985559566787003,-0.1985559566787003,0.918918918918919,0.7837837837837838
Out of the Mouth of Academics,0.436834094368341,0.4379256155055002,-0.0010915211371592126,0.8198198198198198,0.7387387387387387
Out of the Mouth of Activists,0.0849714648065949,0.2097087378640777,-0.1247372730574828,0.8828828828828829,0.8018018018018018
Collective Synecdoche,0.748868778280543,0.2722348916761687,0.4766338866043743,0.90990990990991,0.5855855855855856
AVERAGE,0.4769046689765776,0.48720623830096954,-0.010301569324391968,0.8748748748748749,0.7937937937937938
