id,Scholar,Activist,Monumental Memorialization,Mention of Scholarly Work,Social/Political Advocacy,Coalition Building,Out of the Mouth of Academics,Out of the Mouth of Activists,Collective Synecdoche,file_contents
57,1,0,0,0,1,0,1,0,1,"User: In a dissent that cited W. E. B. Du Bois, James Baldwin and Ta-Nehisi Coates, Justice Sotomayor said the court had vastly expanded police power.
Assistant: **Codes Applied**:
- Scholar
- Social/Political Advocacy
- Out of the Mouth of Academics
- Collective Synecdoche
"
56,1,0,1,0,0,0,1,0,0,"User: But he stayed at Duke only a year before accepting an offer from Harvard that made him simultaneously chairman of the Afro-American studies department, the W. E. B. Du Bois professor of the humanities and the director of the W. E. B. Du Bois Institute, a research institute. Fear of Closing
Assistant: **Codes Applied**:
- Scholar
- Monumental Memorialization
- Out of the Mouth of Academics
"
54,0,1,0,0,1,0,1,0,0,"User: Dr. C. Eric Lincoln, academy board president, said he had written the Department of Jus tice to protest the denial of a visa to Mrs. Shirley Graham DuBois, widow of W. E. B. Du Bois.
Assistant: **Codes Applied**:
- Activist
- Social/Political Advocacy
- Out of the Mouth of Academics
"
55,1,0,0,0,1,0,1,0,0,"User: ''Black studies is about a commitment to academic excellence, but it also has to be socially responsible -- that's really the model Du Bois had in mind,'' he said. ''It only has vibrancy and meaning if it illuminates problems in the daily life of black people and its historical roots. There's a profound crisis out there, and I don't think as a whole we've done a very good job of addressing it.''
Assistant: **Codes Applied**:
- Scholar
- Social/Political Advocacy
- Out of the Mouth of Academics
"
78,1,0,0,1,0,0,1,0,1,"User: The late C. Wright Mills—isolated and harassed because of his radicalism —once remarked that all social science for the past century and a halt is a dialogue with Marx. I think he was right. One will find upon examining the writings of American scholars such as Charles A. Beard, John R. Commons, Albion W. Small, Thorstein Veblen, W. E. B. Du Bois and E. R. A. Seligman that though most did not find Marxism fully persuasive, they all treated Marxism as one of the most illuminating forms of thought in existence
Assistant: **Codes Applied**:
- Scholar
- Mention of Scholarly Work
- Collective Synecdoche
- Out of the Mouth of Academics
"
53,0,1,0,1,1,0,1,0,0,"User: DAVID LEVERING LEWIS met W. E. B. Du Bois in 1948 on the campus of Wilberforce University in Ohio. Mr. Du Bois was 80 years old; Mr. Lewis was 12. Mr. Du Bois, a founder of the National Association for the Advancement of Colored People whom Dr. Lewis calls ''the premier architect of the civil rights movement in the United States,'' was scheduled to give a talk there that day. Mr. Lewis's father, the dean of the university's theological school, was chatting with him. As Mr. Lewis, now 66 year old, recalls that moment long ago, Mr. Du Bois asked him what he planned to do with his life. ''That would have been a typical Du Boisian question at the time,'' said Dr. Lewis, sitting in his book-filled apartment with his wife, Ruth Ann Stewart, like him a professor at Rutgers University in New Brunswick. ''And I have no idea what I might have said to him.''
Assistant: **Codes Applied**:
- Activist
- Mention of Scholarly Work
- Social/Political Advocacy
- Out of the Mouth of Academics
"
34,1,0,0,1,1,0,0,0,0,"User: This — the extent to which democracy in the South threatened to undermine the imperatives of capital — was simply too much for Northern industry to bear. And so it turned against abolition-democracy, already faltering as it was in the face of Southern reaction. “Brute force was allowed to use its unchecked power,” Du Bois writes, “to destroy the possibility of democracy in the South, and thereby make the transition from democracy to plutocracy all the easier and more inevitable.”
Assistant: **Codes Applied**:
- Scholar
- Mention of Scholarly Work
- Social/Political Advocacy
"
35,0,0,0,1,0,0,1,0,0,"User: The New York Times, The Wall Street Journal, The Chicago Tribune and The Oregonian in Portland each received two awards. The author David Levering Lewis was among the winners in the arts for ''W. E. B. Du Bois: The Fight for Equality and the American Century, 1919-1963.'' B8
Assistant: **Codes Applied**:
- Mention of Scholarly Work
- Out of the Mouth of Academics
"
37,1,0,0,1,0,0,1,0,0,"User: The Pulitzer Prizes, administered by Columbia University, also focused on the issue of race in one of the arts awards. David Levering Lewis was awarded his second prize in biography for ''W. E. B. Du Bois: The Fight for Equality and the American Century, 1919-1963,'' the second volume in a series published by Henry Holt & Company. Mr. Lewis had won a Pulitzer Prize for biography in 1994 for the first volume, which covered Du Bois's life from 1868 to 1919.
Assistant: **Codes Applied**:
- Scholar
- Mention of Scholarly Work
- Out of the Mouth of Academics
"
36,1,0,0,1,1,0,0,0,0,"User: In that era, many slaves conceived of death as a kind of emancipation — one that might bring the soul home to Africa. W. E. B. Du Bois described this feeling in “The Souls of Black Folk,” writing, “Of death the Negro showed little fear, but talked of it familiarly and even fondly as simply crossing the waters, perhaps — who knows? — back to his ancient forests again.”
Assistant: **Codes Applied**:
- Scholar
- Mention of Scholarly Work
- Social/Political Advocacy
"
