id,Scholar,Activist,Monumental Memorialization,Mention of Scholarly Work,Social/Political Advocacy,Coalition Building,Out of the Mouth of Academics,Out of the Mouth of Activists,Collective Synecdoche,passage
9,0,,,,,,,,,"The list of contributors is quite impressive and includes William Car los Williams, Theodore Dreiser, Ezra Pound, Langston Hughes, Samuel Beckett (who translated most of the French articles into English), W. E. B. Du Bois, Alain Locke, Jomo Kenyatta and George Padmore. But, as in any anthology, the quality of the articles vanes. Many of the contributions by whites are paternalistic and patroniz ing. William Carlos Williams's con tribution is an amazing personal essay in which he writes of the sexual attraction black women held for him, an attraction which “no white woman could equal.” Williams speculates that his family refused to fire the black cook and washer woman in their home, preferring to keep her around just “for the sheer vitality and animal attractiveness there was in her.”"
14,1,,,,,,,,,"Mr. Page notes that the debate among black Americans over the best road to equality and success did not begin just the other day. Booker T. Washington's post-Civil War vision of gradual economic achievement through education was later written off as appeasement by W. E. B. Du Bois, who demanded full equality at once."
15,1,,,,,,,,,"Mr. Clayton recalled his mother's longing -- and inability -- to find a home for her collection, where it could be used by everyone from esteemed scholars to black teenagers who have yet to hear of W. E. B. Du Bois. ""Culture is the measure of a civilization,"" said Mr. Clayton, who left his job as an art teacher to shepherd his mother's collection. ""Without evidence of a culture, there is no proof that a people exists."""
16,0,,,,,,,,,"In Lynchburg, Ota Benga had his teeth capped and became known as Otto Bingo. He spent a lot of time in the woods, hunting with bow and arrow, and gathering plants and herbs. He did odd jobs and worked in a tobacco factory. He became friendly with the poet Anne Spencer, who lived in Lynchburg, and through her met both W. E. B. Du Bois and Booker T. Washington."
17,0,,,,,,,,,"""We've been through the Black Power era, the Negro era and the W. E. B. Du Bois period,"" Mrs. Dukes said. ""We've survived 85 years. I'm confident we can survive this."""
33,1,,,,,,,,,"In the early 19th century, Thomas Jefferson relied on elaborate mathematical equations to determine when a “mulatto” legally became a white person. Charles W. Chesnutt, a racially ambiguous writer, asked “What Is a White Man?” in an 1889 essay and poked fun at the laws that allowed a person to change his or her racial designation by walking across a state line. How was it possible, Chesnutt wondered, that the same person could be classified as black in North Carolina but white in South Carolina? Even W. E. B. Du Bois had trouble formulating a theoretically accurate account of racial identity, so he put it simply: A black man is “a person who must ride ‘Jim Crow’ in Georgia.” But his statement still leaves us with a puzzle: What would a black man be without Jim Crow to define him?"
34,1,,,,,,,,,"This — the extent to which democracy in the South threatened to undermine the imperatives of capital — was simply too much for Northern industry to bear. And so it turned against abolition-democracy, already faltering as it was in the face of Southern reaction. “Brute force was allowed to use its unchecked power,” Du Bois writes, “to destroy the possibility of democracy in the South, and thereby make the transition from democracy to plutocracy all the easier and more inevitable.”"
35,0,,,,,,,,,"The New York Times, The Wall Street Journal, The Chicago Tribune and The Oregonian in Portland each received two awards. The author David Levering Lewis was among the winners in the arts for ''W. E. B. Du Bois: The Fight for Equality and the American Century, 1919-1963.'' B8"
36,1,,,,,,,,,"In that era, many slaves conceived of death as a kind of emancipation — one that might bring the soul home to Africa. W. E. B. Du Bois described this feeling in “The Souls of Black Folk,” writing, “Of death the Negro showed little fear, but talked of it familiarly and even fondly as simply crossing the waters, perhaps — who knows? — back to his ancient forests again.”"
37,0,,,,,,,,,"The Pulitzer Prizes, administered by Columbia University, also focused on the issue of race in one of the arts awards. David Levering Lewis was awarded his second prize in biography for ''W. E. B. Du Bois: The Fight for Equality and the American Century, 1919-1963,'' the second volume in a series published by Henry Holt & Company. Mr. Lewis had won a Pulitzer Prize for biography in 1994 for the first volume, which covered Du Bois's life from 1868 to 1919."
38,1,,,,,,,,,"The earlier estimates had been based on supposition, as it turned out. Mr. Curtin’s figure, based on scrutiny of shipping contracts and port data, was substantially less than the widely repeated figure of 20 million, which, he showed, was an extrapolation from now-lost records pertaining to Jamaica, and the figure of 15 million used by W. E. B. Du Bois, who repeated a figure arrived at by Edward Dunbar, a 19th-century abolitionist."
54,0,,,,,,,,,"Dr. C. Eric Lincoln, academy board president, said he had written the Department of Jus tice to protest the denial of a visa to Mrs. Shirley Graham DuBois, widow of W. E. B. Du Bois."
55,1,,,,,,,,,"''Black studies is about a commitment to academic excellence, but it also has to be socially responsible -- that's really the model Du Bois had in mind,'' he said. ''It only has vibrancy and meaning if it illuminates problems in the daily life of black people and its historical roots. There's a profound crisis out there, and I don't think as a whole we've done a very good job of addressing it.''"
56,1,,,,,,,,,"But he stayed at Duke only a year before accepting an offer from Harvard that made him simultaneously chairman of the Afro-American studies department, the W. E. B. Du Bois professor of the humanities and the director of the W. E. B. Du Bois Institute, a research institute. Fear of Closing"
57,1,,,,,,,,,"In a dissent that cited W. E. B. Du Bois, James Baldwin and Ta-Nehisi Coates, Justice Sotomayor said the court had vastly expanded police power."
58,1,,,,,,,,,"""C.C.N.Y. ought to have one of the best black studies departments in the country, something like Harvard's W. E. B Du Bois Center for example,"" said one faculty member who asked not to be identified. ""That's the shame of it."" Distorted Image"
75,1,,,,,,,,,"The only way to learn spelling is to read so much that you automatically recognize what thousands and thousands of English words look like. And how much Aristotle, Plato, St. Thomas, Du Bois and Carrie Chapman Catt can a college student read before overtaken by stupor?"
76,1,,,,,,,,,"“Black Reconstruction in America, 1860-1880” by W. E. B. Du Bois"
77,0,,,,,,,,,"In a similar vein Mrs. Shirley Graham Du Bois, windw of W. E. B. Du Bois, told the participants that “wherever people are strug gling, there are no men ‘ask ing women to walk three steps behind them.” Talking about black Africa, Communist China and North Vietnam Mrs. ‘Du Bois saigl, “Honey, they don't need your sympathy, they are more lib erated than you are.”"
78,1,,,,,,,,,"The late C. Wright Mills—isolated and harassed because of his radicalism —once remarked that all social science for the past century and a halt is a dialogue with Marx. I think he was right. One will find upon examining the writings of American scholars such as Charles A. Beard, John R. Commons, Albion W. Small, Thorstein Veblen, W. E. B. Du Bois and E. R. A. Seligman that though most did not find Marxism fully persuasive, they all treated Marxism as one of the most illuminating forms of thought in existence"
79,0,,,,,,,,,"The 68 photographs in the exhibit provide a broad view of black Americans from before the Civil War through the early 1980's. Images of anonymous families, workers and soldiers are shown as well as portraits of public figures like W. E. B. Du Bois, the Rev. Dr. Martin Luther King Jr. and Marian Anderson."
