id,Scholar,Activist,Monumental Memorialization,Mention of Scholarly Work,Social/Political Advocacy,Coalition Building,Out of the Mouth of Academics,Out of the Mouth of Activists,Collective Synecdoche
9,0,0,0,0,0,0,0,0,1
10,1,0,0,0,0,0,0,0,1
11,0,1,0,0,1,0,1,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,1,0,0,0,0
14,0,1,0,0,1,0,0,0,1
15,0,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,1,0
18,0,0,1,0,0,0,1,0,1
19,1,0,0,0,1,0,1,0,1
20,0,0,1,0,0,0,1,0,0
21,0,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,1
24,0,0,0,1,0,0,0,0,0
25,0,0,0,0,0,0,1,0,1
26,0,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,1,0,0,0,0
29,0,0,0,0,1,0,0,0,1
30,0,0,0,0,0,0,0,0,0
31,0,1,0,0,0,0,0,0,0
32,0,0,1,0,0,0,0,0,0
33,1,0,0,0,1,0,0,0,1
34,1,0,0,1,1,0,0,0,0
35,0,0,0,0,0,0,0,0,0
36,1,0,0,1,1,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,1,0,0,1,0,1
40,0,0,0,0,1,0,0,0,0
41,0,0,1,0,0,0,1,0,0
42,0,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,0,0
44,1,0,1,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,1
46,0,1,0,0,1,1,0,0,0
47,0,0,0,0,1,0,0,0,1
48,0,1,0,1,1,1,0,0,0
49,0,0,1,0,0,0,1,0,0
50,0,0,0,0,0,0,0,0,0
51,0,1,0,0,1,0,0,0,0
52,1,0,0,1,1,0,0,0,0
53,0,1,0,0,0,0,1,0,0
54,0,0,0,0,1,0,0,1,0
55,1,0,0,0,1,0,1,1,0
56,0,0,1,0,0,0,1,0,0
57,0,0,0,0,1,0,0,1,1
58,0,0,1,0,1,0,1,1,0
59,0,0,0,0,1,0,0,0,1
60,0,0,0,0,0,0,0,0,0
61,0,0,0,0,1,0,0,0,1
62,0,0,0,0,0,0,0,0,1
63,0,1,0,0,1,1,0,0,0
64,0,0,0,0,0,0,1,0,0
65,1,0,0,1,1,0,0,1,0
66,0,0,0,0,1,0,0,0,0
67,0,0,1,0,0,0,1,0,0
68,0,0,0,0,1,0,0,0,1
69,1,0,0,1,1,0,0,0,1
70,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0
72,1,0,0,0,1,0,0,0,1
73,0,0,0,0,0,0,0,1,0
74,0,1,0,0,1,0,0,0,1
75,0,0,0,0,0,0,0,0,1
76,0,0,0,1,0,0,0,0,0
77,0,0,0,0,1,0,0,1,0
78,1,0,0,0,0,0,0,0,1
79,0,0,0,0,0,0,0,0,1
80,0,0,1,0,0,0,0,0,0
81,1,0,0,1,1,0,0,0,0
82,0,0,1,0,0,0,0,0,0
83,0,0,0,0,0,0,1,0,1
84,0,0,1,0,0,0,1,0,0
85,1,0,0,1,1,0,0,0,0
86,0,0,0,0,0,0,1,0,1
87,0,1,1,0,1,0,0,0,0
88,0,0,0,0,0,0,0,0,1
89,0,1,0,0,1,0,1,0,0
90,0,1,1,0,1,0,0,1,0
91,0,0,0,0,0,0,0,0,0
92,1,0,0,1,1,0,1,0,0
93,0,0,0,0,1,0,0,0,0
94,1,0,0,0,1,0,0,0,0
95,0,0,0,0,0,0,0,0,0
96,0,0,0,1,1,0,0,0,1
97,0,0,1,0,0,0,1,0,0
98,0,0,0,0,0,0,0,0,1
99,0,0,0,1,1,0,0,1,0
100,1,1,0,1,1,1,0,0,0
101,0,1,0,0,1,0,0,0,0
102,0,0,0,0,0,0,0,0,0
103,0,0,0,0,1,0,1,0,0
104,1,0,0,0,1,0,1,0,0
105,1,0,0,1,1,0,0,0,0
106,0,0,1,0,0,0,1,0,1
107,0,0,0,0,1,0,0,0,1
108,1,0,0,0,1,0,0,0,0
109,1,0,0,0,0,0,0,0,1
110,0,1,0,0,1,0,1,0,0
111,1,0,0,0,1,0,0,0,0
112,0,0,0,0,1,0,0,0,0
113,1,0,0,1,1,0,0,0,0
114,0,0,1,0,0,0,1,0,0
115,0,0,1,0,0,0,1,0,0
116,0,0,0,0,0,0,0,0,0
117,0,0,0,1,1,0,0,1,0
118,0,0,0,0,0,0,0,0,0
119,0,1,0,0,1,0,0,0,0
