id,Scholar,Activist,Monumental Memorialization,Mention of Scholarly Work,Social/Political Advocacy,Coalition Building,Out of the Mouth of Academics,Out of the Mouth of Activists,Collective Synecdoche,passage
106,0,1,0,0,1,0,1,0,1,"Similarly, said John Whiteclay Chambers 2nd of Rutgers University, W. E. B. Du Bois and Frederick Douglass urged African-Americans to serve, even though they would be fighting for a segregated society. ''It was an effort to gain full citizenship rights,'' the professor said, noting that military service also offers ''social mobility to people without much money.''"
112,0,1,0,0,1,0,0,0,1,"A central theme is race, which brought the group to the Lynchburg home of Ann Spencer, the dominant poet of the Harlem renaissance of the 1920's. Against a glowing violet sunset, by the pond where Mrs. Spencer once counseled George Washington Carver, Booker T. Washington and W. E. B. Du Bois, the group discussed the early days of the civil rights movement."
57,0,0,1,0,0,1,1,0,0,"Mr. Hutchins said his initial donation was always meant as “hello money,” the start of what he called an intellectual partnership as well as a friendship. Mr. Hutchins and Professor Gates have collaborated
                                        on making the Harvard program “the unmatched juggernaut of African-American studies,” Mr. Hutchins said. Mr. Hutchins helped form an advisory board for the Du Bois Institute and introduced an array
                                        of potential donors to Professor Gates."
43,0,0,0,0,0,0,0,0,0,"While in New York he met Langston Hughes, whose poetry he admired, and got to know the principals of the Harlem Renaissance. At one point, he thought he might write his thesis on W. E. B. Du Bois. But according to Mr. Woodward, Mr. Du Bois heard his Southern accent and backed off."
94,0,0,0,0,0,0,0,0,0,"If not, try to imagine Father taking the phone, saying, ''Dear child, the categorical imperative was not W. E. B. Du Bois's; it was Immanuel Kant's. Which reminds me, I knew you hadn't been reading your Immanuel Kant, much less anything at all, when I got your postcard from Carmel-by-the-Sea saying you were 'having a wondurfull time reding ''The Criteek of Pure Reeson'' by Emanuel Can't.' ''"
80,1,0,0,1,1,0,0,0,1,"Yet in a diverse society like ours we must have space for all people who share this land with us. This requires knowledge and generosity. Thales must be paired with Imhotep and the pyramids must be seen as the monumental
                                        icons of the ancient world long before the creation of the “Iliad” and the “Odyssey.” You cannot have a canon, however, in the United States world that avoids the profound works of David
                                        Walker, Marcus Garvey, W. E. B. Du Bois, James Baldwin, James Weldon Johnson, Toni Morrison, Zora Neale Hurston, Langston Hughes and E. Franklin Frazier, for example."
81,0,0,0,0,1,0,0,0,0,"That’s why Du Bois’s appeal to the world remains so relevant. By impeding Black voters, the United States still violates the democratic principles it has helped enshrine into international law. After observing America’s 2018 midterm elections, a team from the Organization for Security and Cooperation in Europe cataloged a long list of undemocratic practices, from the disenfranchisement of former prisoners to the District of Columbia’s lack of congressional representation to discriminatory voter identification laws, and concluded that, in critical ways, American elections “contravene O.S.C.E. commitments and international standards with regard to universal and equal suffrage.”"
95,1,0,0,0,0,0,1,0,0,"The Pulitzer Prizes, administered by Columbia University, also focused on the issue of race in one of the arts awards. David Levering Lewis was awarded his second prize in biography for ""W. E. B. Du Bois: The Fight for Equality and the American Century, 1919-1963,"" the second volume in a series published by Henry Holt & Company. Mr. Lewis had won a Pulitzer Prize for biography in 1994 for the first volume, which covered Du Bois's life from 1868 to 1919."
42,0,1,0,0,1,1,0,1,0,"'' W. E. B. Du Bois described the N.A.A.C.P.'s mission this way: ''the discovering and redress of cases of injustice.'' The N.A.A.C.P. has always championed the people, not the powerful; the weak and the weary, not the well off and the well connected."
56,0,0,0,0,0,0,0,0,0,"Not to discuss Aristotle, W. E. B. Du Bois and Carrie Chapman Catt, surely. Imagine a phone ringing at dinner time. Mother answers the call, listens, says, ''Father, it is our dear child phoning all the way from Stanford to talk to you.'' Father: Wants another cash infusion, I suppose. Mother: No, dear, it wants to discuss W. E. B. Du Bois's categorical imperative with you."
113,0,0,1,0,0,0,1,0,0,"Henry Louis Gates, Jr., chairman of Harvard's Department of Afro-American Studies and director of the W. E. B. Du Bois Institute for Afro-American Research, described Professor West as ""one of America's most important public intellectuals, and a formidable scholar by any measure."""
107,0,0,0,0,1,1,0,0,0,"""I came mostly for the trade union people,"" Rogovin told me not long ago. ""I was a product of the Great Depression and what I saw and experienced myself made me politically active."" When I asked him if he thought of his photography as explicitly political, Rogovin said, ""I like to photograph people with problems."" He purchased a used camera in 1942 but did not become serious about photography until 1958, when he began taking photographs in storefront churches on the East Side of Buffalo. A collection of those photographs was published in Aperture in 1962, with an introduction by W. E. B. Du Bois."
